actor_1,actor_2,country,date_aired,episodes,genre,network,popularity,ranking,rating,tag,title,users,watchers
Jung Yoo Mi,Nam Joo Hyuk,South Korea,"Sep 25, 2020",6,"Mystery,  Horror,  Comedy,  Drama,  Fantasy,  Supernatural","Netflix, Netflix, Netflix, Netflix",630,1604,7.6,"Teacher, Ghost-seeing Female Lead, Exorcism, High School, Adapted From A Novel, School, Brave Female Lead, Nursing School, Special Power, Co-Workers",The School Nurse Files,2917,8491
Park So Eun,Yoo Jung Woo,South Korea,"Nov 28, 2017 - Jan 16, 2018",8,"Romance,  School,  Youth,  Drama",,3307,1603,8.1,"First Love, Funny Male Lead, Steamy Kiss, Friends To Lovers, Web Series, High School Friends, High School To Working Life, Female Rivalry, Miniseries, Love Triangle",Love After School,595,1333
Ha Ji Won,Lee Jin Wook,South Korea,"Jun 27, 2015 - Aug 16, 2015",16,"Friendship,  Comedy,  Romance,  School",SBS,334,1596,7.5,"Career Oriented Female Lead, Infidelity, Friends To Lovers, Nice Male Lead, Childhood Friends, Unrequited Love, Love Triangle",The Time We Were Not in Love,6128,14377
Jin Se Yeon,Go Soo,South Korea,"Apr 30, 2016 - Nov  6, 2016",51,"Historical,  Law,  Drama,  Melodrama",MBC,1440,1594,7.8,"Strong Female Lead, Female Warrior, Slight Romance, Smart Female Lead, Older Man/Younger Woman, Birth Secret, Joseon Dynasty, Comedy",Flowers of the Prison,1103,3827
Cha Tae Hyun,Bae Doo Na,South Korea,"Oct  8, 2018 - Nov 27, 2018",32,"Comedy,  Romance,  Drama",KBS2,2002,1583,8.0,"Failing Marriage, Married Couple, Infidelity, Divorce",Matrimonial Chaos,747,2640
Kim Kang Woo,Uee,South Korea,"Mar  3, 2018 - May 19, 2018",24,"Comedy,  Romance,  Drama,  Melodrama",MBC,1154,1577,7.6,"Contract Relationship, Trauma, Strong Female Lead, Hidden Identity, Naive Male Lead, Strong Male Lead, Eccentric Character, Family Pressure, Role Reversal, Marriage",My Husband Oh Jak Doo,1962,4723
Yang Ik Jun,Park Joong Hoon,South Korea,"Dec 16, 2017 - Feb  4, 2018",16,"Action,  Mystery,  Crime,  Drama,  Political",OCN,1025,1575,7.8,"Hatred, Smart Protagonist, Skilled Killer, Secret, Policewoman, Team Work, Strong Male Lead, Brother And Sister, Betrayal, Police Officer",Bad Guys: City of Evil,1212,5346
Rain,Lee Na Young,South Korea,"Sep 29, 2010 - Dec  8, 2010",20,"Action,  Comedy,  Romance,  Detective,  Investigation",KBS2,794,1572,7.6,,The Fugitive: Plan B,3207,6874
Ahn Jae Hyun,Gu Hye Seon,South Korea,"Feb 16, 2015 - Apr 21, 2015",20,"Action,  Vampire,  Romance,  Drama,  Medical,  Supernatural",KBS2,90,1571,7.4,"Interspecies Romance, Doctor, Wolves, Manipulative Character, Childhood Acquaintance, Orphan Male Lead, Hospital, Conspiracy, Hate To Love, Superhuman Strength",Blood,14587,31435
Yoon Chan Young,Park Shi Eun,South Korea,"Aug  5, 2019 - Aug  6, 2019",4,"Romance,  School,  Youth,  Melodrama",SBS,1859,1564,7.8,"Adolescence, Student, Pianist, Mother-Son Relationship, Mother-Daughter Relationship, Personal Growth, Character Development, Nice Male Lead, Lying, Sensitive Personality",Everything and Nothing,1206,2863
Oh Ji Ho,Oh Ji Eun,South Korea,"Feb  9, 2014 - Apr  6, 2014",10,"Mystery,  Drama,  Supernatural,  Detective,  Investigation",OCN,1153,1562,7.7,"Ghost-seeing Male Lead, Spirit Possession, Death Of Friend, Smuggle, Attempted Assault, Attempted Murder, Strong Female Characters, Possessed, Secret Crush, Attempted Suicide",Cheo Yong,1740,4734
Jung Yoo Mi,Lee Jin Wook,South Korea,"Jun 20, 2012 - Aug  9, 2012",16,"Comedy,  Romance",tvN,694,1555,7.5,"Second Chances, Friends To Lovers, Female Chases Male First, Steamy Kiss, Cold Man/Warm Woman",I Need Romance 2,3723,7808
Kim Jae Won,Eugene,South Korea,"Mar  7, 2005 - Apr 26, 2005",16,"Comedy,  Romance,  Drama,  Family",MBC,958,1552,7.6,"Married Couple, Marriage, Bickering Couple, One-night Stand, Shotgun Wedding, Contract Relationship, Pregnancy, Love/Hate Relationship, Rich Man/Poor Woman, Love Triangle",Wonderful Life,3008,5687
Han Groo,Kim Jeong Tae,South Korea,"Aug 27, 2011 - Sep 10, 2011",3,"Action,  Thriller,  Horror,  Mature",CGV,1334,1550,7.7,"Gun Violence, Strong Female Characters, Manipulative Character, Brief Nudity, Skilled Killer, Assassination, Badass Female Lead, Slight Romance, Police Officer, Miniseries",Little Girl K,1860,4160
Song Seung Heon,Lee Yun Hee,South Korea,"Aug 25, 2008 - Mar 10, 2009",56,"Action,  Historical,  Romance,  Drama,  Family,  Melodrama",MBC,1446,1547,7.8,"Multi-Generational, Hidden Identity, Brothers, Switched At Birth, Makjang, Revenge, Multiple Couples",East of Eden,1221,3803
Sung Hoon,Kim Ga Eun,South Korea,"Nov  1, 2018 - Dec 14, 2018",10,"Comedy,  Romance","Viki, Oksusu",677,1546,7.6,"Kidnapping, Poor Female Lead, Actor, Rich Man/Poor Woman, Impulsive Female Lead, Entertainment Industry, Neighbors, Arrogant Male Lead, Lying, Web Series",I Picked Up a Star on the Road,3325,7971
Park Soo Ae,Kwon Sang Woo,South Korea,"Jan 14, 2013 - Apr  2, 2013",24,"Romance,  Drama,  Melodrama",SBS,1179,1542,7.7,"Orphan Female Lead, Orphan Male Lead, Orphanage, Marriage Of Convenience, Adapted From A Manhwa, Orphan, Abusive Parents, Revenge, Tragic Past, Marriage",Queen of Ambition,1460,4632
Im Soo Hyang,Sung Hoon,South Korea,"Jan 23, 2011 - Jul 17, 2011",52,"Romance,  Drama,  Family,  Melodrama",SBS,1560,1533,7.8,"Forbidden Love, Interracial, Jealousy, Gisaeng, Foreigner, Slap And Kiss, Evil Stepmother, Step Family, Multiple Couples, Rich Man/Poor Woman",New Tales of Gisaeng,1299,3514
Choi Shi Won,Kang So Ra,South Korea,"Oct 14, 2017 - Dec  3, 2017",16,"Friendship,  Business,  Comedy,  Romance,  Youth,  Drama",tvN,368,1531,7.5,"Airhead Male Lead, Benevolent Mother, Strict Father, Chairman, Business Successor, Dorky Male Lead, Spoiled Male Lead, Heir, Office Worker, Poor Female Lead",Revolutionary Love,5169,13402
Kim Hyun Joo,Ji Jin Hee,South Korea,"Aug 22, 2015 - Feb 28, 2016",50,"Romance,  Drama,  Melodrama",SBS,1336,1522,7.8,"Twins, Amnesia, Birth Secret, Strong Female Lead, Second Chance, Infidelity, Strong Chemistry, Obsession",I Have a Lover,1321,4141
Shin Ha Kyun,Lee Seol,South Korea,"Dec  3, 2018 - Jan 29, 2019",32,"Suspense,  Psychological,  Crime,  Drama,  Detective,  Investigation",MBC,2326,1521,8.1,"Mistake, Apparent Death, Bad Cop, Crime Against Women, Repentance, Psycho Second Lead, Conglomerate, News Media, Secret, Badass Female Lead",Less Than Evil,678,2209
Kim Myung Soo,Yoon So Hee,South Korea,"Oct 26, 2016 - Dec 14, 2016",8,"Friendship,  Music,  Romance,  Youth,  Drama","Netflix, Netflix, Netflix, Netflix, BS Japan",499,1517,7.5,"Time Loop, Time Travel, Fate, Web Series, Miniseries, Band, Idol Actor, Depression, Tearjerker, Arrogant Male Lead",One More Time,4959,10128
Kim So Eun,Lee Won Keun,South Korea,"Sep 24, 2016 - Dec 10, 2016",20,"Comedy,  Romance,  School,  Youth,  Sports",MBN,811,1515,7.6,"Love Triangle, Competition, Character Development, Unrequited Love, Love Confession, Nice Female Lead, Hardworking Male Lead, Hardworking Female Lead, High School Romance, Underdog",Thumping Spike 2,2734,6710
Kim So Eun,Seo Kang Joon,South Korea,"Sep  2, 2013 - Sep 27, 2013",12,"Friendship,  Comedy,  Romance,  School,  Youth,  Fantasy",Naver TV Cast,796,1511,7.6,"Web Series, Miniseries, Bromance, Idol Actor, Team Work, Cross-Dressing, Love Triangle",After School: Lucky or Not,3206,6859
Steven Noh,Kim Min Kyu,South Korea,"Oct 20, 2017 - Dec  8, 2017",15,"Comedy,  Life,  Youth,  Family",Naver TV Cast,2501,1510,8.0,"Web Series, Nice Male Lead, Bromance, Funny Male Lead, Miniseries, Brothers, Cohabitation, Sibling Relationship, Rich Female Lead, Adapted From A Webtoon",We Are Peaceful Brothers,820,1997
Uhm Ji Won,Jeong Ji So,South Korea,"Feb 10, 2020 - Mar 17, 2020",12,"Thriller,  Mystery,  Horror,  Fantasy,  Supernatural",tvN,1812,1501,8.0,"Strong Female Lead, Shamanism, Curse, Journalist, Investigation, Reporter, Gore, Strong Girl, Company Head, Devilish Character",The Cursed,867,2964
Kim Hyun Joo,Joo Sang Wook,South Korea,"Sep  2, 2016 - Oct 22, 2016",16,"Comedy,  Romance,  Drama,  Medical",jTBC,938,1500,7.7,"Scriptwriter, Breast Cancer, Terminal Illness, Second Chance, Actor",Fantastic,2009,5787
Yeo Jin Goo,Lee Yun Hee,South Korea,"Jul 19, 2017 - Sep 21, 2017",40,"Romance,  Drama,  Melodrama,  Supernatural",SBS,584,1492,7.6,"Supernatural Power, Reincarnation, Older Woman/Younger Man",Reunited Worlds,3056,8869
Park Ji Yeon,Bae Doo Na,South Korea,"Jan  4, 2010 - Feb 23, 2010",16,"Friendship,  Comedy,  Romance,  School",KBS2,521,1481,7.6,"Rebellious Students, Norifusa Mita, Strong Personality, Lawyer, High School, Student, Adapted From A Manga",Master of Study,4418,9727
Hong Seung Hee,Kim Kwan Soo,South Korea,"Nov 29, 2019 - Feb 14, 2020",12,"Mystery,  Comedy,  Romance,  Melodrama",,2860,1480,8.0,"Drinking, Break Up, Secret Crush, Reverse-Harem, Steamy Kiss, Neighbors, Kissing, Roommates, Web Series, Childhood Friends",Kiss Scene in Yeonnamdong,767,1656
Go Soo,Uhm Ki Joon,South Korea,"Sep 27, 2018 - Nov 15, 2018",32,"Action,  Life,  Drama,  Medical",SBS,2160,1476,8.2,"Power Struggle, Hospital, Smart Male Lead, Strong Friendship, Strong Female Lead, Bromance, Heart Transplant, Strong Male Lead, Smart Female Lead, Secret",Heart Surgeons,698,2406
Im Joo Hwan,Oh Man Suk,South Korea,"Dec  3, 2011 - Feb  5, 2012",20,"Music,  Romance,  School",MBN,780,1475,7.6,"BIGBANG, Musical, Pre-produced, College Life, Idol Actor",What's Up?,2625,6967
Go Hyun Jung,Park Jin Hee,South Korea,"Jan 17, 2018 - Mar 22, 2018",34,"Suspense,  Thriller,  Mystery,  Detective,  Investigation",SBS,1755,1457,7.9,"Psychopath, Strong Female Lead, Revenge, Tragic Past, Murder, Drug Addiction, Infidelity, Police, Law Firm, Conglomerate",Return,1020,3091
Song Seung Heon,Kim Tae Hee,South Korea,"Jan  5, 2011 - Feb 24, 2011",16,"Comedy,  Romance",MBC,156,1455,7.5,"Heir, Princess, Hate To Love, Female Chases Male First",My Princess,14046,23139
Kang So Ra,Yoo Yeon Seok,South Korea,"May 13, 2015 - Jul  2, 2015",16,"Food,  Comedy,  Romance",MBC,344,1453,7.5,"Misunderstanding, Rich Man/Poor Woman, Jeju, Love Square, First Love, Hurt & Comfort, Chef, Childish Male Lead, Naive Male Lead, Steamy Kiss",Warm and Cozy,6744,14110
Gongchan,Song Yoo Jung,South Korea,"Nov  2, 2019 - Nov 20, 2019",6,"Romance,  Fantasy","Naver TV Cast, vLive",2565,1447,7.9,"Soulmates, Misunderstanding, Tomboy, Destiny, Miniseries, Web Series, University Students, Cohabitation, Love Triangle, Bromance",Dear My Name,954,1937
Lee Ji Ah,Yoon Shi Yoon,South Korea,"Nov  9, 2011 - Dec 28, 2011",15,"Psychological,  Comedy,  Romance,  Drama",MBC,363,1445,7.5,"Rich Male Lead, Steamy Kiss, Police Officer, Older Woman/Younger Man, Mental Health, Depression, Hidden Identity, Man Pursues Woman First, Orphan Male Lead, Family Relationship","Me too, Flower!",7242,13547
Seol In Ah,Kim Jae Young,South Korea,"Sep 28, 2019 - Mar 22, 2020",100,"Comedy,  Romance,  Drama,  Family,  Melodrama",KBS2,1259,1441,7.9,"Family Relationship, Hateful Mother-in-law, Multiple Mains, Mother-Daughter Relationship, Marriage Of Convenience, Multiple Couples, Time Skip, Evil Mother-in-law, Makjang, Clingy Male Lead","Beautiful Love, Wonderful Life",1182,4410
Choi Jin Hyuk,Baek Jin Hee,South Korea,"Oct 27, 2014 - Jan 13, 2015",21,"Law,  Romance,  Investigation",MBC,518,1431,7.6,"Prosecutor, Arrogant Male Lead, Mean Male Lead, Love Triangle",Pride and Prejudice,3475,9752
Lee Seo Jin,Sung Dong Il,South Korea,"Feb  9, 2019 - Mar  3, 2019",7,"Action,  Thriller,  Mystery,  Psychological,  Crime,  Detective,  Investigation",OCN,2101,1429,8.0,,Trap,964,2489
Park Shin Yang,Kang So Ra,South Korea,"Mar 28, 2016 - May 31, 2016",20,"Comedy,  Law,  Investigation",KBS2,1756,1428,8.0,"Haechoolring, Power And Authority, Married Lead, Attorney, Unemployed, Framed, Strong Female Characters, Law Firm, Lawyer, Death","My Lawyer, Mr. Jo",956,3090
Yoon Eun Hye,Kang Ji Hwan,South Korea,"May  9, 2011 - Jun 28, 2011",16,"Comedy,  Romance",SBS,97,1423,7.5,"Pretend Relationship, Steamy Kiss, Heir, Coming Of Age, Ex-girlfriend Comes Back, Lying",Lie to Me,18365,30459
Park Sung Woong,Kim Bum,South Korea,"Jun 16, 2015 - Aug  4, 2015",16,"Mystery,  Drama,  Detective,  Investigation",tvN,1070,1421,7.8,"Cops Vs Criminals, Undercover Agent",Hidden Identity,1610,5118
Han Ye Seul,Joo Jin Mo,South Korea,"Mar  6, 2019 - May  2, 2019",32,"Thriller,  Mystery,  Romance,  Drama,  Investigation",SBS,1856,1413,8.0,"Paparazzi, Badass Female Lead, Cold Woman, Journalist, Photography, Strong Female Lead, Boss/Employee Relationship, Teamwork, Photographer, Editor",Big Issue,895,2867
Joo Won,Shim Eun Kyung,South Korea,"Oct 13, 2014 - Dec  2, 2014",16,"Music,  Comedy,  Romance,  School",KBS2,410,1405,7.6,"Adapted From A Manga, Cold Male Lead, Eccentric Female Lead, Naive Female Lead, Clingy Female Lead, College Life, Female Chases Male First, Piano, Classical Music, Orchestra Conductor",Naeil's Cantabile,5387,11979
Park Shi Hoo,Yoon Jung Hee,South Korea,"Oct 11, 2008 - Apr 19, 2009",54,"Comedy,  Romance,  Drama,  Family",SBS,2967,1411,8.2,"Multiple Couples, Older Man/Younger Woman, Divorce, Widow, Rich Family, Big Family, Trauma, Cold Man/Warm Woman, Unrequited Love, Panic Disorder",Family's Honor,700,1561
Choi Min Ho,Park So Dam,South Korea,"Oct  7, 2015 - Nov 25, 2015",8,"Friendship,  Romance,  Youth",On Style,460,1401,7.6,"Unrequited Love, Love Triangle, Coming Of Age, Bittersweet Ending, Multiple Mains, Slice Of Life, Housemates, Personal Growth, SHINee, Multiple Couples",Because It's The First Time,3877,11047
Baek Jin Hee,Yoon Doo Joon,South Korea,"Jul 16, 2018 - Aug 28, 2018",14,"Food,  Friendship,  Comedy,  Romance,  Life,  Drama",tvN,1408,1400,7.8,"Smart Protagonist, Flashback To Past, Competent Protagonist, Mature Protagonist, Nice Female Lead, Secondary Couple, Benevolent Mother, Competent Boss, Secret Crush, Secret",Let's Eat 3,1420,3925
Seo Hyun Jin,Yang Se Jong,South Korea,"Sep 18, 2017 - Nov 21, 2017",40,"Food,  Comedy,  Romance,  Life,  Drama",SBS,303,1396,7.6,"Love Triangle, Older Woman/Younger Man, Age Gap, Bromance, Second Chance Romance, Chef, Calm Male Lead, Writer, Cooking, Unrequited Love",Temperature of Love,5628,15333
Lee Dong Gun,Jo Yoon Hee,South Korea,"Aug 27, 2016 - Feb 26, 2017",54,"Comedy,  Romance,  Drama,  Family",KBS2,1871,1395,8.0,"Overcoming Struggles, Power Struggle, Family Relationship, Multiple Mains, Slice Of Life, Divorce, Multiple Couples, Bromance",The Gentlemen of Wolgyesu Tailor Shop,1006,2840
Namgoong Min,Hwang Jung Eum,South Korea,"May 23, 2018 - Jul 19, 2018",32,"Friendship,  Comedy,  Romance,  Life,  Drama",SBS,529,1394,7.6,"Smart Male Lead, Matchmaking, Jealousy, Aquaphobia, Funny Female Lead, Arrogant Male Lead, Heartbreak, Mean Male Lead, Family Conflict, Steamy Kiss",The Undateables,3645,9638
Lee Hyun Woo,Joy,South Korea,"Mar 20, 2017 - May  9, 2017",16,"Friendship,  Music,  Comedy,  Romance,  Youth,  Drama",tvN,165,1388,7.5,"Cheerful Girl, Lying, Adapted From A Manga, Scandal, Music Composition, Forced Break-up, Secret, Entertainment Industry, Older Man/Younger Woman, Reporter",The Liar and His Lover,10260,22497
Go Ah Sung,Ha Seok Jin,South Korea,"Mar 15, 2017 - May  4, 2017",16,"Business,  Comedy,  Romance,  Drama",MBC,651,1385,7.6,"Office Worker, Terminal Illness, Workplace, Misunderstanding, Nice Female Lead, Hardworking Male Lead, Hardworking Female Lead, Teamwork, Team Work, Smart Male Lead",Radiant Office,3701,8242
Oh Ji Ho,Jeon Hyo Sung,South Korea,"Aug 23, 2015 - Oct 18, 2015",10,"Mystery,  Drama,  Supernatural,  Detective,  Investigation",OCN,2312,1381,8.0,"Ghost-seeing Male Lead, Idol Actor",Cheo Yong 2,892,2224
Sulli,Choi Min Ho,South Korea,"Aug 15, 2012 - Oct  4, 2012",16,"Comedy,  Romance,  School,  Youth,  Drama,  Sports",SBS,38,1373,7.5,"High School, Cross-Dressing, Adapted From A Manga, School Dorm, Second Lead Syndrome, High Jump, Celebrity, SHINee, Girl's Day, Idol Actress",To The Beautiful You,26408,45630
Shin Se Kyung,Seo Shin Ae,South Korea,"Sep  7, 2009 - Mar 19, 2010",126,"Comedy,  Romance,  Drama,  Family,  Sitcom",MBC,1575,1360,7.9,"Multiple Mains, Older Woman/Younger Man, Poor Characters, Multiple Couples, Unrequited Love, Bromance, School",High Kick Through the Roof!,1294,3491
Jang Gyu Ri,Chuu,South Korea,"May 10, 2019 - Jun 29, 2019",16,"Friendship,  Romance,  Youth,  Drama",Naver TV Cast,2258,1358,8.1,"Multiple Couples, College Life, Miniseries, Female Centered Plot, Web Series, Fromis_9, Loona",Dating Class,976,2281
Park Eun Bin,Yeon Woo Jin,South Korea,"Nov 22, 2017 - Jan 11, 2018",32,"Friendship,  Comedy,  Law,  Romance,  Drama",SBS,1098,1356,7.8,"Slice Of Life, Slow Romance, Slow Burn Story, Bromance, Love Triangle, Hot-tempered Female Lead, Colleagues, Eccentric Female Lead, Rain, Calm Male Lead",Judge vs. Judge,1876,4979
Joo Sang Wook,Han Ye Seul,South Korea,"Nov  1, 2014 - Jan 11, 2015",21,"Comedy,  Romance,  Drama,  Melodrama",SBS,173,1354,7.5,"Plastic Surgery, Makeover, Rich Male Lead, Transformation, Cohabitation, Revenge, Hidden Identity, Doctor, Misunderstanding, Food",Birth of a Beauty,10757,21919
Han Chae Young,Jae Hee,South Korea,"Jan  3, 2005 - Mar  1, 2005",17,"Comedy,  Romance",KBS2,484,1349,7.6,"Strong Female Lead, Love Triangle, Obsessive Second Lead, Forced Marriage, Contract Relationship, High School To Working Life, High School, Beautiful Female Lead, Hardworking Female Lead, Married Couple","Delightful Girl, Choon Hyang",5928,10418
Kim Ah Joong,Ji Hyun Woo,South Korea,"Jun 22, 2016 - Aug 18, 2016",16,"Mystery,  Drama,  Melodrama,  Investigation",SBS,1137,1348,7.8,"Crime Against Children, Actress, Kidnapping, Loveless Marriage, Death, Money-obsession, Strong Female Lead, Idol Actor",Wanted,1604,4814
Han Seung Yeon,Lee Seo Won,South Korea,"Oct 23, 2017 - Nov  3, 2017",10,"Comedy,  Romance,  Drama","jTBC, Naver TV Cast",972,1344,7.7,"Terminal Illness, Contract Relationship, Miniseries, Doppelganger, Cancer, Actor, Impersonation, Fake Relationship, Web Series, Poor Male Lead",Last Minute Romance,2394,5600
Song Yoon Ah,Yoon Chan Young,South Korea,"Aug  2, 2014 - Oct 19, 2014",24,"Romance,  Drama,  Family,  Melodrama",MBC,2127,1343,8.3,"Painter, Artist, Single Mother, Hot-tempered Female Lead, Return To Hometown, Bittersweet Ending, Housewife, Single Parent, Mother-Son Relationship, Older Woman/Younger Man",Mama,606,2442
Choi Shi Won,Lee Yoo Young,South Korea,"Apr  1, 2019 - May 28, 2019",36,"Comedy,  Romance,  Crime,  Drama,  Detective,  Political",KBS2,804,1341,7.8,"Con Artist, Character Development, Elections, Social Satire, Hidden Identity, Strong Female Characters, Strong Female Lead, Lying, Strong Girl, Hardworking Female Lead",My Fellow Citizens!,2099,6746
Jang Hyuk,Oh Yeon Seo,South Korea,"Jan 19, 2015 - Apr  7, 2015",24,"Historical,  Romance,  Drama,  Supernatural,  Political",MBC,848,1340,7.7,"King, Power Struggle, Princess, Secret, Goryeo Dynasty, Strong Female Characters, Queen Dowager, Merchant, Strong Male Lead, Fight",Shine or Go Crazy,2412,6372
Kim Nam Joo,Yoo  Joon Sang,South Korea,"Feb 25, 2012 - Sep  9, 2012",58,"Comedy,  Romance,  Life,  Drama,  Family,  Melodrama",KBS2,1744,1334,8.1,"Grandma-Grandson Relationship, Family Reunion, CNBLUE, Producer, Baking, Married Couple, Multiple Mains, Infidelity, Mother-Son Relationship, Father-Daughter Relationship",My Husband Got a Family,838,3107
Jin Se Yeon,Kim Min Kyu,South Korea,"Dec 14, 2019 - Feb  9, 2020",16,"Historical,  Romance,  Drama,  Fantasy,  Political","TV Chosun, Viki",1430,1333,7.9,"Joseon Dynasty, Revenge, Power Struggle, Twins, Palace Politics, Competition, Daring Lead, Past Connection, Hidden Identity, Queen",Queen: Love And War,1327,3881
Eugene,Lee Sang Woo,South Korea,"Aug 15, 2015 - Feb 14, 2016",54,"Romance,  Drama,  Family,  Melodrama",KBS2,1959,1332,8.0,"Daughter-in-law, Married Couple, Cancer, Nice Male Lead, Marriage, Pregnancy",All About My Mom,1099,2705
Jung Ryeo Won,Jung Kyung Ho,South Korea,"Mar 10, 2009 - Jul 21, 2009",39,"Action,  Historical,  Romance,  Tragedy",SBS,1393,1331,7.9,"Royalty, Princess, Love Triangle, Forbidden Love, Spy, Child Abandonment, Based On A Legend, Heir, Betrayal, Sibling Rivalry",Ja Myung Go,1285,3983
Yoon So Hee,Hyun Woo,South Korea,"Jul 25, 2018 - Aug 30, 2018",12,"Comedy,  Romance,  Drama,  Fantasy,  Supernatural","MBN, Viki",426,1330,7.6,"Magic, Love Triangle, Rich Male Lead, Secret Relationship, Sassy Female Lead, Love/Hate Relationship, Secret, Restaurant, Witch, Hidden Identity",Witch's Love,5267,11628
Shin Ha Kyun,Jung So Min,South Korea,"May  6, 2020 - Jun 25, 2020",32,"Psychological,  Comedy,  Romance,  Life,  Drama,  Medical",KBS2,1080,1312,7.9,"Mental Health, Healing, Nice Male Lead, Older Man/Younger Woman, Character Development, Age Gap, Eccentric Male Lead, Psychiatry, Slow Burn Romance, Father-Son Relationship",Soul Mechanic,1351,5049
Chae Rim,Lee Min Ki,South Korea,"Jan  3, 2007 - Mar 15, 2007",22,"Friendship,  Business,  Comedy,  Romance,  Life,  Drama",KBS2,900,1307,7.7,"Older Woman/Younger Man, Contract Relationship, Independent Female Lead, Workplace, Age Gap, Strong Female Characters, Enemies To Friends, Airhead Female Lead, Time Skip, Sismance",Dal Ja's Spring,3179,6085
Jung Yoo Mi,Eric Mun,South Korea,"Aug 18, 2014 - Oct  7, 2014",16,"Comedy,  Romance,  Drama",KBS2,445,1306,7.6,"Second Lead Syndrome, Love Triangle, Misunderstanding, Second Chance, Ex-bofriend Returns, Secret Relationship, Eccentric Character, Orphan, Childhood Friends, Friendship",Discovery of Romance,4784,11244
Park Shin Hye,Jung Yong Hwa,South Korea,"Jun 29, 2011 - Aug 18, 2011",15,"Music,  Romance,  School,  Youth,  Drama",MBC,37,1304,7.5,"College Life, Love Triangle, Idol Actor, Grandpa-Granddaughter Relationship, Neighbors, Band, Competition, Female Chases Male First, CNBLUE, Singer-Songwriter",Heartstrings,28426,46295
Shin Ha Kyun,Jo Yoon Hee,South Korea,"Mar  7, 2016 - Apr 26, 2016",16,"Action,  Thriller,  Drama,  Detective,  Investigation",tvN,1675,1298,8.1,,Pied Piper,857,3231
Lee Joon Gi,Nam Sang Mi,South Korea,"Jun 25, 2014 - Sep  4, 2014",22,"Suspense,  Historical,  Romance,  Drama,  Melodrama",KBS2,682,1295,7.7,"Strong Male Lead, Joseon Dynasty, Gun Fight, Smart Female Lead, Power Struggle, Revenge, Hidden Identity",Gunman In Joseon,2886,7920
Lee Yoo Ri,Uhm Ji Won,South Korea,"Jan 23, 2019 - Mar 21, 2019",32,"Friendship,  Business,  Comedy,  Drama,  Fantasy",MBC,2020,1294,8.1,"Body Swap, Female Centered Plot, Sismance, Sassy Female Lead, Smart Female Lead, Strong Female Lead, Eccentric Female Lead, Naive Female Lead, Infidelity, Revenge",Spring Turns to Spring,871,2607
Lee Young Ae,Song Seung Heon,South Korea,"Jan 26, 2017 - May  4, 2017",28,"Historical,  Romance,  Drama,  Melodrama,  Investigation",SBS,1223,1291,8.0,"Visual Arts, Forbidden Love, Different Timelines, Strong Female Lead, Educated Male Lead, Educated Female Lead, Decoding, Nice Mother-in-law, Art Restoration, Art Gallery","Saimdang, Light’s Diary",1210,4510
Lee Sang Woo,Park Se Young,South Korea,"Apr 26, 2014 - Oct  5, 2014",44,"Comedy,  Romance,  Drama,  Family",SBS,1505,1289,8.0,"Mother-Daughter Relationship, Multiple Couples, Marriage, Sisterhood, Sismance, Unrequited Love, Love Triangle, Single Mother, Tough Female Lead, Love Confession",Glorious Day,1185,3653
Kim Myung Soo,Shin Ye Eun,South Korea,"Mar 25, 2020 - Apr 30, 2020",24,"Friendship,  Comedy,  Romance,  Drama,  Fantasy",KBS2,354,1287,7.6,"Cat, Cat Shifter, Cohabitation, Nice Male Lead, Innocent Male Lead, Love Triangle, Double Identity, Transformation, Calm Male Lead, Hidden Identity","Meow, the Secret Boy",4922,13751
Lee Yo Won,Yoon Sang Hyun,South Korea,"Mar 18, 2016 - May  7, 2016",16,"Friendship,  Business,  Comedy,  Drama",jTBC,1032,1276,7.8,"Naive Male Lead, Strong Female Lead, Boss/Employee Relationship, Smart Female Lead, Independent Female Lead, Eccentric Male Lead, Slice Of Life, Cosmetics Company, Company Manager, Company Director",Ms. Temper & Nam Jung Gi,2180,5289
Kim So Hyun,Lee Min Hyuk,South Korea,"Mar 14, 2016 - Mar 31, 2016",12,"Suspense,  Mystery,  School,  Supernatural",Naver TV Cast,565,1278,7.7,"Teacher, Student Detective, High School, Web Series, Time Travel, Idol Actor",Nightmare Teacher,4424,9095
Rain,Lee Sun Bin,South Korea,"May 25, 2018 - Jul 14, 2018",16,"Action,  Suspense,  Supernatural,  Detective,  Investigation",jTBC,1122,1273,7.9,"Team Work, Strong Male Lead, Premonition, Fight, Death, Precognition, Sibling Relationship, Strong Female Lead, Revenge, Tragic Past",Sketch,1527,4868
Choi Ji Woo,Lee Sung Jae,South Korea,"Sep 23, 2013 - Nov 26, 2013",20,"Mystery,  Drama,  Family,  Melodrama",SBS,760,1270,7.7,"Badass Female Lead, Housekeeper, Smart Female Lead, Calm Female Lead, Youth Romance, Character Development",The Suspicious Housekeeper,2988,7144
Ji Sung,Eugene,South Korea,"Oct 23, 2004 - Jan  2, 2005",20,"Romance,  Drama",SBS,1280,1265,7.8,"Amnesia, Rich First Lead",Save the Last Dance for Me,1888,4333
Park Yoo Chun,Son Hyun Joo,South Korea,"Mar  5, 2014 - May  1, 2014",16,"Action,  Suspense,  Thriller,  Drama",SBS,841,1262,7.7,"Political, Bodyguard",3 Days,2565,6437
